               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023404,            0.014497,          0.00093716,             0.91228,             0.89344,             0.93723,             0.68159,            0.030501,            0.011129,           0.0026567,            0.006535,            0.006535,            0.006535
                  37,            0.023693,            0.014621,          0.00092555,             0.89085,             0.89414,             0.93013,             0.67196,            0.031742,             0.01094,           0.0026636,            0.006436,            0.006436,            0.006436
                  38,            0.022685,            0.014965,           0.0010991,             0.86967,             0.93523,             0.93595,              0.6938,            0.029838,            0.010664,           0.0025491,            0.006337,            0.006337,            0.006337
                  39,            0.022346,            0.014837,           0.0012557,             0.87218,             0.91616,             0.92287,             0.68103,            0.030203,            0.011816,           0.0027212,            0.006238,            0.006238,            0.006238
                  40,            0.022484,            0.014529,           0.0010301,             0.88259,             0.92376,             0.92967,             0.67652,            0.029971,            0.011685,           0.0024822,            0.006139,            0.006139,            0.006139
                  41,            0.022113,            0.014604,           0.0010489,             0.89184,             0.92187,             0.92272,             0.67471,            0.029771,            0.011594,           0.0025164,             0.00604,             0.00604,             0.00604
                  42,            0.021813,            0.014078,           0.0010697,              0.9123,             0.90551,             0.92512,             0.67146,            0.031034,            0.011536,           0.0026024,            0.005941,            0.005941,            0.005941
                  43,            0.021944,             0.01429,          0.00091071,             0.90125,             0.90449,             0.93331,             0.68336,            0.029545,             0.01131,           0.0026581,            0.005842,            0.005842,            0.005842
                  44,            0.021153,            0.013716,          0.00096939,             0.90171,             0.92833,             0.92346,             0.68112,            0.029818,            0.011815,            0.002389,            0.005743,            0.005743,            0.005743
                  45,            0.021835,             0.01458,          0.00098081,              0.8984,             0.92859,             0.93756,             0.67277,            0.030658,            0.011544,           0.0024715,            0.005644,            0.005644,            0.005644
                  46,            0.021293,             0.01397,          0.00098335,               0.895,             0.91221,             0.92828,             0.68515,            0.029744,             0.01227,           0.0025956,            0.005545,            0.005545,            0.005545
                  47,            0.021116,             0.01377,           0.0014912,             0.91147,             0.91244,             0.93939,             0.68872,            0.030408,             0.01145,           0.0028501,            0.005446,            0.005446,            0.005446
                  48,            0.020582,            0.013978,           0.0010363,             0.90462,             0.91781,             0.93892,             0.70205,            0.029495,            0.011139,           0.0025896,            0.005347,            0.005347,            0.005347
                  49,            0.020198,            0.013568,          0.00083888,             0.88701,             0.92339,             0.93881,             0.70562,            0.029204,            0.011468,           0.0025596,            0.005248,            0.005248,            0.005248
                  50,             0.02086,            0.014141,          0.00088265,             0.89858,             0.91826,             0.94118,             0.69001,            0.029375,            0.011414,           0.0025514,            0.005149,            0.005149,            0.005149
                  51,            0.019496,            0.013486,          0.00083953,             0.89074,             0.92619,             0.93794,             0.69283,            0.028984,            0.011088,            0.002641,             0.00505,             0.00505,             0.00505
                  52,             0.02064,            0.013678,          0.00080054,             0.89111,             0.92696,             0.92921,             0.69358,            0.029474,            0.011476,           0.0026858,            0.004951,            0.004951,            0.004951
                  53,            0.019623,            0.013007,           0.0010651,             0.90068,             0.91249,             0.92892,             0.69425,            0.029884,            0.011538,           0.0026559,            0.004852,            0.004852,            0.004852
                  54,            0.020062,            0.013667,           0.0010762,             0.87648,             0.91568,             0.93069,             0.68054,            0.029695,            0.011143,            0.002786,            0.004753,            0.004753,            0.004753
                  55,            0.019784,             0.01446,          0.00080084,             0.87146,             0.92619,             0.91668,             0.66824,            0.029922,            0.011281,            0.003896,            0.004654,            0.004654,            0.004654
                  56,            0.020014,             0.01409,          0.00088049,             0.90019,             0.92299,             0.92193,             0.68551,            0.030956,            0.011182,           0.0034547,            0.004555,            0.004555,            0.004555
                  57,             0.01942,            0.012711,          0.00092992,             0.89093,             0.91927,             0.92144,             0.68318,            0.030381,            0.011414,            0.002958,            0.004456,            0.004456,            0.004456
                  58,            0.019957,            0.013612,          0.00065135,             0.87829,             0.93457,             0.92517,              0.6895,            0.029938,            0.011179,           0.0029145,            0.004357,            0.004357,            0.004357
                  59,            0.019164,            0.012916,          0.00083651,             0.88566,              0.9261,             0.92931,              0.6915,            0.029612,            0.011531,           0.0027642,            0.004258,            0.004258,            0.004258
                  60,            0.019031,            0.012802,          0.00090915,             0.90451,             0.91568,             0.93073,             0.70929,            0.029909,            0.011393,           0.0027757,            0.004159,            0.004159,            0.004159
                  61,            0.019132,            0.013037,          0.00094874,             0.89471,             0.92951,             0.93424,             0.68814,            0.030666,            0.011367,            0.002642,             0.00406,             0.00406,             0.00406
                  62,            0.019117,            0.013035,          0.00089238,             0.87904,             0.92725,             0.92322,             0.68695,            0.029622,            0.012035,           0.0028445,            0.003961,            0.003961,            0.003961
                  63,            0.018931,            0.012936,           0.0011723,             0.89117,              0.9081,             0.93195,             0.70212,            0.029205,            0.011445,           0.0027335,            0.003862,            0.003862,            0.003862
                  64,            0.018826,            0.012507,          0.00062379,             0.88965,             0.92597,             0.92863,             0.70937,            0.028678,            0.011378,           0.0026759,            0.003763,            0.003763,            0.003763
                  65,            0.017883,             0.01235,          0.00080453,             0.89683,             0.92094,             0.93194,              0.7028,            0.029549,            0.011532,           0.0026843,            0.003664,            0.003664,            0.003664
                  66,            0.018518,            0.012255,           0.0007451,             0.90035,             0.92964,             0.94069,             0.71754,            0.030005,            0.011436,           0.0027662,            0.003565,            0.003565,            0.003565
                  67,            0.017896,            0.012797,          0.00073558,             0.90823,             0.90105,             0.93463,             0.70296,            0.029684,            0.011177,           0.0029604,            0.003466,            0.003466,            0.003466
                  68,            0.018078,            0.012779,          0.00070145,             0.89906,             0.93287,             0.92731,              0.7016,            0.029574,            0.011195,           0.0026328,            0.003367,            0.003367,            0.003367
                  69,             0.01769,            0.012453,           0.0007053,             0.90159,              0.9356,             0.94087,             0.70867,            0.029868,            0.011319,           0.0027704,            0.003268,            0.003268,            0.003268
                  70,            0.017859,            0.012129,          0.00052469,             0.90532,             0.90876,             0.93795,             0.70813,             0.02911,             0.01156,           0.0027722,            0.003169,            0.003169,            0.003169
                  71,            0.017239,            0.012676,          0.00052472,             0.92024,             0.90996,             0.93709,             0.71256,            0.028663,            0.011274,           0.0027667,             0.00307,             0.00307,             0.00307
                  72,            0.017251,            0.012174,          0.00070297,             0.91443,             0.91009,             0.94142,             0.71597,            0.029091,            0.011531,           0.0028117,            0.002971,            0.002971,            0.002971
                  73,            0.016963,            0.012041,          0.00054045,             0.90165,             0.91018,             0.93731,             0.71051,            0.029524,             0.01166,           0.0027974,            0.002872,            0.002872,            0.002872
                  74,            0.017397,             0.01181,          0.00057978,              0.8811,             0.93593,              0.9284,             0.70126,            0.029375,            0.011699,           0.0027623,            0.002773,            0.002773,            0.002773
                  75,            0.017417,              0.0124,          0.00052569,              0.8946,             0.91288,             0.93156,             0.70675,            0.029513,            0.011881,           0.0026232,            0.002674,            0.002674,            0.002674
                  76,            0.017216,            0.012099,          0.00081774,             0.91689,             0.90161,             0.93426,             0.70783,            0.028958,            0.011793,           0.0025175,            0.002575,            0.002575,            0.002575
                  77,            0.016846,            0.011714,           0.0005414,             0.88343,             0.92627,             0.93879,             0.71164,            0.028678,            0.011627,           0.0025401,            0.002476,            0.002476,            0.002476
                  78,            0.016991,            0.011805,          0.00065258,             0.90215,             0.90935,             0.93841,             0.71215,            0.028504,            0.011711,           0.0026333,            0.002377,            0.002377,            0.002377
                  79,            0.016594,            0.012386,          0.00059059,             0.89689,             0.91209,             0.93788,              0.7158,            0.029473,            0.011554,           0.0026444,            0.002278,            0.002278,            0.002278
                  80,            0.016443,            0.011766,          0.00058058,             0.89895,             0.91222,             0.93292,             0.70486,            0.029325,            0.011792,           0.0027118,            0.002179,            0.002179,            0.002179
                  81,            0.017148,            0.012295,            0.000596,              0.9048,             0.92203,             0.94091,             0.71425,            0.029319,            0.011711,           0.0027278,             0.00208,             0.00208,             0.00208
                  82,            0.016426,            0.011565,          0.00062323,             0.88517,             0.92907,             0.93753,             0.71639,            0.028876,            0.011694,           0.0026827,            0.001981,            0.001981,            0.001981
                  83,            0.016356,            0.011694,          0.00053969,             0.90805,             0.91095,             0.93759,             0.71267,            0.029318,            0.011983,           0.0027219,            0.001882,            0.001882,            0.001882
                  84,            0.016629,            0.012025,          0.00049637,             0.89527,             0.92126,             0.93499,             0.71131,            0.028931,             0.01234,           0.0027382,            0.001783,            0.001783,            0.001783
                  85,            0.015969,            0.011354,          0.00059388,             0.90404,             0.91847,             0.93512,             0.71825,            0.028969,            0.012051,           0.0027122,            0.001684,            0.001684,            0.001684
                  86,            0.016718,            0.011717,          0.00058334,             0.90594,             0.92391,             0.93401,             0.71417,            0.028871,             0.01204,           0.0026874,            0.001585,            0.001585,            0.001585
                  87,            0.016134,            0.011365,          0.00045327,             0.90262,             0.90514,             0.93335,             0.71956,             0.02914,            0.012358,           0.0026911,            0.001486,            0.001486,            0.001486
                  88,            0.016236,            0.011838,          0.00060436,             0.90834,             0.91288,             0.93594,             0.71363,            0.029391,            0.012381,           0.0027289,            0.001387,            0.001387,            0.001387
                  89,            0.015991,            0.011822,          0.00054539,             0.90706,             0.90514,              0.9351,             0.71729,            0.029011,             0.01197,           0.0027526,            0.001288,            0.001288,            0.001288
                  90,            0.016112,            0.011789,           0.0004385,             0.91544,             0.90214,             0.93338,             0.72242,             0.02887,            0.011976,           0.0027435,            0.001189,            0.001189,            0.001189
                  91,            0.015979,            0.011881,           0.0011755,             0.89756,             0.91688,              0.9275,             0.71517,            0.029177,            0.012325,           0.0028246,             0.00109,             0.00109,             0.00109
                  92,            0.015391,            0.011663,          0.00046236,             0.91161,              0.9073,              0.9288,             0.71411,            0.029034,             0.01217,           0.0028381,            0.000991,            0.000991,            0.000991
                  93,            0.015174,            0.011068,           0.0003743,             0.90559,             0.90384,             0.92878,             0.70668,            0.029013,            0.012177,           0.0028563,            0.000892,            0.000892,            0.000892
                  94,            0.015604,            0.011647,           0.0005475,             0.90324,             0.89587,             0.92969,             0.71022,            0.029132,            0.011956,           0.0028741,            0.000793,            0.000793,            0.000793
                  95,            0.015583,            0.011106,          0.00040713,             0.87883,             0.92619,              0.9337,             0.72214,            0.028847,            0.012076,           0.0029099,            0.000694,            0.000694,            0.000694
                  96,            0.016005,            0.011553,          0.00046834,             0.88984,             0.91501,             0.93507,             0.72199,            0.028774,            0.012166,           0.0029042,            0.000595,            0.000595,            0.000595
                  97,             0.01627,            0.011724,          0.00055776,              0.8907,              0.9206,             0.93404,             0.71875,            0.028652,            0.012077,           0.0028849,            0.000496,            0.000496,            0.000496
                  98,            0.015522,            0.011391,          0.00047225,             0.87964,              0.9261,              0.9318,             0.71824,            0.028578,            0.012034,           0.0028313,            0.000397,            0.000397,            0.000397
                  99,            0.015459,            0.011084,          0.00049857,             0.87909,             0.93092,             0.93325,             0.71945,            0.028663,            0.012083,           0.0028243,            0.000298,            0.000298,            0.000298
