               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042075,             0.02031,           0.0037282,              0.8624,             0.97064,             0.90542,             0.47997,            0.039358,            0.019191,           0.0042957,            0.006337,            0.006337,            0.006337
                  39,            0.042359,            0.020921,           0.0033128,             0.99114,               0.975,              0.9822,             0.62562,            0.037859,            0.018221,           0.0039984,            0.006238,            0.006238,            0.006238
                  40,            0.041027,            0.019121,           0.0034103,             0.96718,                0.95,             0.97132,             0.61711,            0.036175,            0.018057,           0.0042912,            0.006139,            0.006139,            0.006139
                  41,             0.03976,            0.018658,           0.0033229,              0.9908,             0.99662,               0.995,             0.67832,            0.034512,            0.017543,           0.0042007,             0.00604,             0.00604,             0.00604
                  42,            0.039384,            0.018044,           0.0028867,             0.96061,             0.97087,             0.97439,             0.47306,            0.041648,            0.016969,           0.0042154,            0.005941,            0.005941,            0.005941
                  43,            0.039978,            0.018265,           0.0031793,              0.9871,             0.99465,               0.995,             0.67791,            0.034575,            0.016625,           0.0040684,            0.005842,            0.005842,            0.005842
                  44,            0.037323,            0.016854,           0.0027622,             0.98923,             0.99934,               0.995,              0.5422,            0.037238,            0.016632,           0.0040982,            0.005743,            0.005743,            0.005743
                  45,            0.036899,            0.017391,           0.0032246,             0.98587,             0.99751,               0.995,             0.70456,            0.032726,            0.016248,           0.0042801,            0.005644,            0.005644,            0.005644
                  46,            0.036291,            0.017058,           0.0027374,             0.96483,             0.97305,             0.98032,             0.69191,            0.033399,            0.016456,           0.0042139,            0.005545,            0.005545,            0.005545
                  47,            0.035919,            0.018235,           0.0028717,             0.99141,             0.99713,               0.995,             0.61698,            0.033071,            0.016155,           0.0038523,            0.005446,            0.005446,            0.005446
                  48,            0.036057,            0.016164,           0.0026781,             0.94343,                0.95,             0.97228,             0.58278,            0.034854,            0.016176,           0.0038818,            0.005347,            0.005347,            0.005347
                  49,            0.036359,            0.016253,           0.0027911,             0.99074,             0.99969,               0.995,             0.71419,             0.03254,            0.015334,           0.0036566,            0.005248,            0.005248,            0.005248
                  50,            0.034781,            0.016563,            0.002582,             0.96977,             0.99878,             0.99381,              0.7235,            0.031378,            0.015732,           0.0034145,            0.005149,            0.005149,            0.005149
                  51,            0.035045,            0.017062,           0.0028616,              0.9913,             0.99738,               0.995,             0.70228,            0.033186,            0.015524,            0.003628,             0.00505,             0.00505,             0.00505
                  52,            0.034166,            0.016885,           0.0028744,             0.98828,             0.99666,               0.995,              0.7344,            0.027415,            0.015514,           0.0035998,            0.004951,            0.004951,            0.004951
