               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028673,           0.0092381,           0.0020939,             0.99384,                   1,               0.995,             0.79298,            0.025164,           0.0094668,            0.002976,            0.006436,            0.006436,            0.006436
                  38,            0.028461,           0.0099634,           0.0024606,             0.99421,                   1,               0.995,             0.69185,            0.029917,           0.0097619,           0.0029304,            0.006337,            0.006337,            0.006337
                  39,            0.027798,            0.010212,           0.0022183,             0.99421,                   1,               0.995,             0.80229,            0.026217,           0.0091006,           0.0029233,            0.006238,            0.006238,            0.006238
                  40,            0.027832,           0.0094663,           0.0021934,             0.99467,                   1,               0.995,             0.74047,            0.025493,           0.0090352,           0.0028522,            0.006139,            0.006139,            0.006139
                  41,             0.02629,           0.0091828,           0.0021159,             0.99548,                   1,               0.995,             0.80644,            0.026976,           0.0092477,           0.0028126,             0.00604,             0.00604,             0.00604
                  42,             0.02604,           0.0091552,           0.0019117,              0.9936,                   1,               0.995,             0.77413,            0.025442,           0.0089272,            0.002805,            0.005941,            0.005941,            0.005941
                  43,            0.026692,           0.0091776,           0.0022019,             0.99351,                   1,               0.995,             0.71822,             0.02641,           0.0088039,           0.0027701,            0.005842,            0.005842,            0.005842
                  44,            0.025906,           0.0084437,           0.0019097,             0.99212,                   1,               0.995,             0.76023,            0.022883,           0.0085146,             0.00276,            0.005743,            0.005743,            0.005743
                  45,            0.025078,           0.0086243,           0.0020432,             0.99342,                   1,               0.995,             0.78176,            0.022397,           0.0085184,           0.0027995,            0.005644,            0.005644,            0.005644
                  46,            0.024358,           0.0086563,           0.0020386,             0.99345,                   1,               0.995,             0.84509,            0.021574,           0.0084019,           0.0027575,            0.005545,            0.005545,            0.005545
                  47,            0.024305,           0.0097127,           0.0020244,              0.9933,                   1,               0.995,             0.79902,              0.0231,           0.0085203,           0.0027153,            0.005446,            0.005446,            0.005446
                  48,            0.024088,           0.0081572,           0.0018346,              0.9946,                   1,               0.995,             0.83341,             0.02306,           0.0085614,           0.0026543,            0.005347,            0.005347,            0.005347
                  49,            0.022986,           0.0081955,           0.0017674,             0.99463,                   1,               0.995,             0.81149,            0.020868,           0.0085275,           0.0025986,            0.005248,            0.005248,            0.005248
                  50,            0.023677,           0.0089047,           0.0017035,             0.99492,                   1,               0.995,             0.84567,            0.022728,           0.0084891,           0.0025805,            0.005149,            0.005149,            0.005149
                  51,            0.023267,           0.0084861,           0.0018373,             0.99478,                   1,               0.995,             0.77827,            0.023256,           0.0086709,           0.0027482,             0.00505,             0.00505,             0.00505
                  52,            0.022642,           0.0086659,           0.0019211,             0.99531,                   1,               0.995,             0.86051,            0.019097,           0.0081863,           0.0027797,            0.004951,            0.004951,            0.004951
                  53,            0.022934,           0.0086428,           0.0019827,             0.99616,                   1,               0.995,             0.76373,            0.025743,           0.0088246,           0.0026346,            0.004852,            0.004852,            0.004852
                  54,             0.02277,           0.0088473,           0.0020322,             0.99627,                   1,               0.995,             0.84792,              0.0208,           0.0083632,           0.0026776,            0.004753,            0.004753,            0.004753
                  55,            0.022576,           0.0084767,           0.0019652,             0.99616,                   1,               0.995,             0.86743,            0.020282,           0.0082293,           0.0027668,            0.004654,            0.004654,            0.004654
                  56,            0.020401,            0.008756,           0.0018907,             0.99565,                   1,               0.995,             0.84294,            0.019478,           0.0078365,           0.0027117,            0.004555,            0.004555,            0.004555
                  57,            0.020697,           0.0085582,           0.0019117,             0.99603,                   1,               0.995,             0.80343,            0.021844,           0.0081555,           0.0026322,            0.004456,            0.004456,            0.004456
                  58,            0.021212,            0.008456,           0.0016849,             0.99605,                   1,               0.995,             0.82946,            0.020761,              0.0079,           0.0025821,            0.004357,            0.004357,            0.004357
                  59,            0.020244,            0.008347,           0.0018781,             0.99583,                   1,               0.995,             0.89487,            0.021117,           0.0077063,           0.0025293,            0.004258,            0.004258,            0.004258
                  60,            0.019587,           0.0073681,           0.0015007,              0.9961,                   1,               0.995,              0.8564,              0.0194,           0.0075852,           0.0024991,            0.004159,            0.004159,            0.004159
                  61,            0.019588,           0.0084122,           0.0016142,             0.99637,                   1,               0.995,             0.81201,            0.020872,           0.0077886,           0.0024579,             0.00406,             0.00406,             0.00406
                  62,            0.018801,           0.0082916,           0.0015424,             0.99619,                   1,               0.995,             0.89297,            0.018667,           0.0074325,           0.0024136,            0.003961,            0.003961,            0.003961
                  63,            0.018889,           0.0080489,           0.0014016,             0.99615,                   1,               0.995,             0.83659,            0.021719,           0.0078121,           0.0024032,            0.003862,            0.003862,            0.003862
                  64,            0.019096,            0.007065,           0.0015142,             0.99594,                   1,               0.995,             0.89041,            0.019124,           0.0074663,           0.0024824,            0.003763,            0.003763,            0.003763
                  65,            0.018798,           0.0076119,           0.0017693,             0.99608,                   1,               0.995,             0.86748,            0.019549,           0.0075383,           0.0024811,            0.003664,            0.003664,            0.003664
                  66,            0.018908,             0.00776,           0.0018158,             0.99574,                   1,               0.995,             0.88478,            0.018028,           0.0073535,           0.0025183,            0.003565,            0.003565,            0.003565
                  67,            0.018094,           0.0075807,           0.0017387,             0.99585,                   1,               0.995,             0.81957,            0.020991,           0.0078788,            0.002634,            0.003466,            0.003466,            0.003466
                  68,             0.01797,           0.0081968,           0.0016528,             0.99559,                   1,               0.995,             0.87326,            0.018048,           0.0075065,           0.0025715,            0.003367,            0.003367,            0.003367
                  69,            0.017887,           0.0078036,           0.0016427,             0.99591,                   1,               0.995,             0.89455,            0.017987,           0.0074932,           0.0025178,            0.003268,            0.003268,            0.003268
